shortcut,generalFarsi,generalEnglish,technicalFarsi,technicalEnglish
Review,,"Dear Client,

We would like to inform you that this matter has been referred to the relevant department for review. Once the investigation is complete, the outcome will be communicated to you.

Best regards,",,
پایان مهلت بونس,"با سلام و احترام؛


به اطلاع می رساند کمپین بونس اکنون به ��ایان رسیده است. در صورت برگزاری کمپین جدید در آینده٬ به همه کاربران اطلاع رسانی خواهد شد.


با تشکر",,,
حساب تکرار رایگان ارسال شده,"با سلام و احترام،

حساب تکرار رایگان از طریق ایمیل خدمت شما ارسال شده است.

درخواست تکرار رایگان به منزله تایید و گواهی از بین رفتن حساب اولیه شما است.

با سپاس از همراهی شما.",,,
اتصال به حساب سرور ۲,"با سلام و احترام ،

جهت اتصال حساب معاملاتی خود به متاتریدر مراحل زیر را به دقت انجام دهید :
متاتریدر را باز کنید در منوی سمت چپ بالای صفحه بر روی گزینه ی File کلیک کنید، بر روی گزینه ی Open an account بزنید.
در پنجره ی باز شده سرور کارگزاری .OpogroupLLC را جستجو کنید، بر روی سرور به نمایش درآمده و سپس بر روی NEXT کلیک کنید.
گزینه ی Existing trade account را انتخاب کنید.
در قسمت Login شماره حساب معاملاتی خود را وارد نمایید، در قسمت Password پسورد حساب معاملاتی ��ا عینا از متن ایمیل کپی و در این قسمت پیست کنید.
از نام سرور با آدرس OpogroupLLC_server2 اطمینان حاصل نمایید.
در انتها بر روی گزینه ی Finish کلیک کنید تا حساب شما متصل شود.


با تشکر.",,,
فعالسازی,"با سلام و احترام،

پیرو بررسی‌های انجام‌شده، حساب معاملاتی به شماره - مجدداً فعال گردید. بدین‌وسیله ضمن عذرخواهی بابت وقفه ایجادشده در دسترسی به حساب، از صبر و شکیبایی جنابعالی صمیمانه قدردانی می‌نماییم.

با سپاس از همراهی شما",,,
نصب مجدد نرم افزار,"با سلام و احترام؛


به اطلاع می رساند پس از نصب نرم افزار٬ شرایط و مقررات دریافت بونس روی صفحه نمایش داده می شود که پس از تایید توسط کاربر حساب بونس فعال خواهد شد. لطفا نرم افزار خود را حذف نموده و مجددا راه اندازی و شرایط بونس را تایید نمایید. 


در صورت وجود سوال و یا نیاز به راهنمایی بیشتر مجددا با ما در تماس باشید.


با تشکر",,,
Opo IB swap,,"Dear client,


To move your user account to a new or different IB, please follow the steps
outlined below:


1. Log in to your client area and navigate to the Profile section.
2. Proceed to the OPO IB swap section.
3. Read and accept the Terms and Conditions.
4. Enter the client ID of the IB under which you wish to transfer your trading
account.
5. Click on ""Continue.""
6. Your request will be placed on pending status.


Please note that this request can only be submitted once. The system will
analyze your request and provide approval within 24 hours.
If you have any questions or need assistance, please contact our IB department
at the following email address: partners@opofinance.com.


Best regards,",,
forward email,,"Dear Client;


Your request has been forwarded to the financial department. We will provide a
response to you promptly.


Best regard.",,
ارسال درخواست واضح تر,"با سلام و احترام٬

لطفا جهت پیگیری این مورد٬ درخواست خود را واضح تر و با جزییات بیشتری ارسال
نمایید.

با تشکر",,,
اتصال حساب معاملاتی دسکتاپ,"با سلام و احترام،

برای اتصال حساب معاملاتی خود به نرم‌افزار MetaTrader در کامپیوتر (ویندوز یا مک)، لطفاً مراحل زیر را دنبال کنید:

برای MetaTrader 4 و MetaTrader 5:
1. نرم‌افزار MetaTrader 4 یا MetaTrader 5 را باز کنید.
2. از منوی بالا گزینه File → Login to Trade Account را انتخاب کنید.
3. اطلاعات حساب خود را وارد نمایید:
• Login (شماره حساب)
• Password (رمز عبور)
• Server (سرور) مطابق نوع حساب شما:
• حساب‌های متاتریدر 5 (دمو و واقعی): Opogroup-Server1
• حساب‌های متاتریدر 5 (بونوس): OpogroupLLC-Server2
• حساب‌های متاتریدر 4 (واقعی): OpogroupLLC-Real1
• حساب‌های متاتریدر 4 (دمو): OpogroupLLC-Demo
4. بر روی OK کلیک کنید تا ورود شما انجام شود.

اکنون حساب شما به پلتفرم متصل شده و می‌توانید معاملات خود را آغاز کنید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
connect account to MT,,"Dear client;


To connect your trading account to MetaTrader, carefully follow the steps below:


1. Open MetaTrader and click on ""File"" in the top left menu.
2. Select ""Open an account"" from the drop-down menu.
3. In the opened window, search for the broker's server:
- Meta 5 server: Opogroup-Server1
- Meta 4 server for real account: OpogroupLLC-Real1
- Meta 4 server for demo account: OpogroupLLC-demo
4. Click on the displayed server and then click ""NEXT.""
5. Choose the ""Existing trade account"" option.
6. Enter your trading account number in the ""Login"" section and paste the trading account password exactly as it appears in the email into the ""Password"" section.
7.Finally, click on ""Finish"" to connect your account.


Best regards.",,
آی پی,"با سلام و احترام،

اشتراک گذاری حساب و همچنین تبانی کاربران به عنوان یک روش شناخته شده سو استفاده از خدمات پراپ فرم هست و در تمامی پراپ فرم های معتبر چنین قانونی وجود دارد.
در صورتی که یک تریدر ۲ یا چند حساب مختلف از طریق ۲ یا چند اکانت با نام های متفاوت از هم خریداری کند ( و یا در مسابقات رایگان ماهانه شرکت داشته باشد)، تمامی حساب های این شخص بسته خواهد شد. یکی از چندین روش تشخیص چنین استراتژي هایی بررسی آدرس آی پی کاربران است. بدین منظور، در صورتی که بین حساب های کاربران مختلف آدرس آی پی یکسان وجود داشته باشد تیم فنی حساب چنین اشخاصی را ضبط خواهد کرد.
‍
پی نوشت ۱: استفاده از وی‌پی‌ان مجاز است و تغییر آی پی + تغییر دستگاه، مانعی ندارد و منجر به بسته شدن حساب کاربر نخواهد شد.
‍
پی نوشت ۲: در صورتی که در یک محیط کار اشتراکی، در حال پاس کردن چالش ( و یا شرکت در مسابقه) هست��د، میباست از خدمات آی پی یکسان مانند تهیه وی‌پی‌اس اقدام کنید تا آی پی شما با دیگران متمایز باشد. فور‌اف‌ایکس هیچ مسوولیتی بابت آی پی آدرس کاربران ندارد.

با سپاس از همراهی شما",,,
توضیح,"با سلام و احترام،


ایمیل ارسالی شما دریافت شد، اما هیچ توضیحی در آن ذکر نشده است. خواهشمندیم در رابطه با درخواست یا سوال خود توضیح کامل و جامعی ارائه فرمایید تا بتوانیم شما را بهتر راهنمایی کنیم.


با سپاس از همراهی شما",,,
اتمام پاسخگویی forfx,"با سلام و احترام،

همان طور که پیش تر نیز اطلاع رسانی شده بود، فعالیت و خدمات مجموعه FORFX از آوریل ۲۰۲۶ رسماً خاتمه یافته است.

بدین وسیله اطلاع می رساند که تمامی برداشت های سود، بازپرداخت ها و تسویه حساب های واجد شرایط مطابق ضوابط و مقررات شرکت به طور کامل انجام شده اند. نحوه تسویه و بازپرداخت حساب ها نیز به شرح زیر بوده است:

• حساب های چالش فعال: ۱۰۰٪ بازپرداخت
• حساب های Free Repeat با PnL مثبت: ۵۰٪ بازپرداخت
• حساب های Free Repeat با بالانس منفی: بدون بازپرداخت
• حساب های Funded با سود و SR محقق شده: پرداخت کامل سهم سود + بازپرداخت
• حساب های Funded با بالانس منفی یا تا ۵٪ سود و SR محقق نشده: ۱۰۰٪ بازپرداخت
• حساب های Funded با بیش از ۵٪ سود و SR محقق نشده: ۲۵٪ از سهم سود واجد شرایط
• حساب های Funded سفید و قرمز با بالانس مثبت: پرداخت کامل
• حساب های چالش سفید و قرمز: ۱۰۰٪ بازپرداخت
• کمیسیون های Affiliate: تسویه کامل

همچنین، به منظور رسیدگی به موارد نیازمند بررسی، پشتیبانی ایمیلی و فرآیند بازبینی درخوا��ت ها به مدت دو ماه پس از خاتمه فعالیت شرکت ادامه داشت. با اتمام این مهلت و تکمیل تمامی فرآیندهای مالی و پشتیبانی، از ابتدای ماه جولای ۲۰۲۶ وب سایت، پنل کاربری و تمامی کانال های پیگیری و ارتباطی شرکت به طور کامل غیرفعال و بسته شده اند.

از همراهی شما در این مدت سپاسگزاریم و برای شما در مسیر معاملاتی تان آرزوی موفقیت داریم.

با تشکر",,,
انجام شد,"با سلام و احترام؛

به اطلاع می رساند درخواست شما با موفقیت انجام شد. 


در صورت وجود سوال و نیاز به راهنمایی بیشتر مجددا با ما در ارتباط باشید.

با تشکر",,,
ایمیل پراپ فارسی,"با سلام و احترام ،

لطفا موارد مربوط به حساب پراپ را به پشتیبانی Forfx از طریق لایو چت (پشتیبانی چت
آنلاین) درصفحه اصلی سایت شرکت به آدرس www.forfx.com [https://www.forfx.com/] و
یا به آدرس ایمیل support@forfx.com ایمیل ارسال نمایید.

با تشکر",,,
VPS,,"Dear Valued Client,

Kindly find the credentials for logging into your VPS below. 

VPS login data: 

IPv4:
Login:
Password: 

Do not hesitate to contact your account manager or our support team with any
questions. 

Best Regards, 
Opofinance Team",,
شرایط برداشت آی بی,"با سلام و احترام؛


لطفا توجه داشته باشید برداشت از ولت آی بی تنها در روزهای چهارشنبه و مبالغ بالای
۵۰ دلار توسط کاربرامکان پذیر است و برداشت خارج از این شرایط به صورت سیستمی محدود
شده است. قبلا از صبر و شکیبایی شما سپاسگزاریم.


با تشکر",,,
Ads,,"Dear Sir/Madam,


Thank you for reaching out to us. Your email has been passed on to the
appropriate department, and our team will reach out to you if your
qualifications align with our requirements.


Best regards,",,
قطعی سرور ایران,"با سلام و احترام؛

به اطلاع می‌رساند زیرساخت سرورهای ایران جهت اتصال به پنل کاربری و متاتریدر ۵ در حال به‌روزرسانی و ارتقای فنی می‌باشد؛ لذا دسترسی به این سرورها موقتاً با اختلال مواجه است.

خواهشمند است تا اتمام عملیات به‌روزرسانی، جهت مدیریت معاملات خود از فیلترشکن استفاده نمایید. پس از اتمام موفقیت‌آمیز عملیات و پایداری مجدد سرورها، مراتب به اطلاع تمامی کاربران خواهد رسید.

در صورت وجود سوال و یا نیاز به راهنمایی بیشتر، مجدداً با ما در تماس باشید.

با تشکر",,,
ثبت نام,"با سلام و احترام،

برای ورود به پنل کاربری نیاز هست حساب چالش داشته باشید.

برای خرید چالش، لطفاً مراحل زیر را دنبال کنید:
 1. وارد صفحه اصلی سایت شوید

https://www.forfx.com [https://www.forfx.com/]
و جداول مربوط به چالش ها را بررسی کنید. طرح مورد نظر خود را از جدول انتخاب کرده و روی دکمه Start New Challenge کلیک کنید تا وارد فرم خرید شوید.
2. فرم خرید را با دقت تکمیل کنید. سپس تیک پذیرش قوانین و شرایط را فعال کرده و دکمه Proceed to Payment را بزنید تا سفارش خرید شما تکمیل شود و به صفحه پرداخت بروید.
2-روش پرداخت کریپتوکارنسی را انتخاب کرده و دکمه Pay For Order بزنید.
3-در مرحله بعدی ارز و شبکه مورد نظر را انتخاب کرده و روی Next Step کلیک کنید.
4-در این مرحله، آدرس کیف پول مرتبط با کریپتوکارنسی و شبکه انتخابی به شما نمایش داده می شود. می توانید از این آدرس را کپی و برای انتقال وجه استفاده کنید.
نکات مهم:
• اگر از قبل در ForFX حساب کاربری دارید، چالش خریداری شده در حساب کاربری شما قابل مشاهده خواهد بود.
• در صورتی که حساب کاربری ندارید، با انجام اولین خرید، به صورت خودکار یک حساب کاربری برای شما ایجاد خواهد شد.

برای بررسی و داشتن پنل کاربری و حساب معاملاتی ForFX بدون نیاز به خرید چالش، می توانید از حساب Free Trial (حساب آرمایشی)استفاده کنید.
مراحل:
 1. وارد صفحه اصلی سایت شوید و در بالای صفحه روی دکمه Free Trial کلیک کنید.
 2. حساب معاملاتی مورد نظر را انتخاب کرده و گزینه start now را زده و در صفحه بعد فرم اطلاعات خواسته شده را تکمیل کنید.
 3. با تکمیل اطلاعات، یک حساب کاربری برای شما در ForFX ایجاد می شود و مشخصات اتصال به یک حساب معاملاتی آزمایشی جهت بررسی و تست به ایمیل شما ارسال خواهد شد.

نکته مهم:
*ساخت این حساب هیچ هزینه ای ندارد و فاقد هرگونه ارزش در جهت رسیدن به تارگت سود است
*این حساب معاملاتی آزمایشی به مدت ۳ روز فعال و قابل استفاده است.

زمانی که حساب برای شما ساخته و ارسال شود با ایمیلتون ��یتوانید وارد پنل کاربری شوید.

با سپاس از همراهی شما",,,
AccountPassword,,"Dear Client,
To reset your trading account password, please log in to your client area [https://client.opofinance.com/auth/sign-in] and follow these steps:
Panel > Accounts overview > More > Settings > Change password
Best Regards.",,
دراداون روزانه تکنیکال,"با سلام و احترام،

حساب شماره --- مورد بررسی قرار گرفت و نتیجه به شرح زیر می باشد:

حساب مذکور به دراداون روزانه رسیده و به درستی بریچ اعلام شده است.

بالانس ابتدای روز حساب --$ بوده و حد دراداون روزانه --$ بوده است.

در حال حاضر با ضررهای کسب شده بالانس حساب --$ می باشد که از حد دراداون روزانه عبور کرده است.

با سپاس از همراهی شما",,,
فراموشی رمز کاربری,"با سلام و احترام؛

به اطلاع می رساند ثبت نام شما با ایمیل "" "" انجام شده است. جهت دریافت رمز ورود،
لطفا گزینه فراموشی رمز را اجرا نموده و سپس ایمیل خود را وارد نمایید تا پین جدید
جهت تغییررمز عبور برای شما ارسال شود.
چنانچه به ایمیل خود دسترسی ندارید لطفا با هماهنگی واحد احراز هویت٬ ایمیل خود را
تغییر دهید. ایمی�� این واحد در زیر آمده است.
kyc@opofinance.com

با تشکر.",,,
هش تراکنش,"با سلام و احترام؛

به اطلاع می‌رساند تراکنش شماره 2575301 در تاریخ 2025.12.08 با موفقیت انجام شده است. جهت کسب اطلاعات بیشتر، هش تراکنش در ادامه ارائه می‌گردد:

0x3b0943a3c71f8b70aa307151572c05bde17f782d7464b01b3abc072e857b2ffa

با وارد کردن هش فوق در وب‌سایت www.bscscan.com می‌توانید جزئیات تراکنش را مشاهده فرمایید.

در صورت وجود هرگونه سؤال یا نیاز به راهنمایی بیشتر، لطفاً مجدداً با ما در تماس باشید.

با تشکر",,,
کمپین بهار,"با سلام و احترام؛


به اطلاع میرساند کمپین بهار کارگزاری اپوفایننس از تاریخ 2024.05.01 آغاز شده و تا
تاریخ 2024.06.01 ادامه خواهد داشت. مزایای این کمپین به شرح زیر می باشد:
۱- بهره مندی از بونس۴۰ درصدی در صورت واریز مبالغ جدید بالای 100 دلار و اعطای
بونس تا سقف 2500 دلار
۲- فعال سازی حساب ECN PRO به ازای واریز مبلغ 2500 دلار


لطفا توجه داشته باشید جهت شرکت دراین کمپین٬ احراز هویت حساب کاربری و تایید شرایط
و مقررات کمپین الزامی بوده و مدت زمان استفاده از این بونس یک ماه می باشد.


با تشکر",,,
سرور VPS ارسال شد,"با سلام و احترام

اطلاعات سرور مجازی (VPS) به آدرس ایمیل شما ارسال شده است.

*جهت اتصال به سرور مجازی می توانید از راهنمای اتصال پیوست شده استفاده نمایید.
*سرور مجازی بر روی کامپیوتر و موبایل قابل استفاده می باشد.

ابتدا در منوی ��ستارت گزینه ی REMOTE DESKTOP CONNECTION جستجوکنید و نرم افزار را اجرا کنید.
بر روی دکمه ی SHOW OPTION کلیک کنید.
در قسمت Computer آی پی که برای شما ارسال شده است را کپی پیست کنید.
در قسمت USERNAME نام کاربری که برای شما ارسال شده است را کپی پیست کنید.
سپس بر روی گزینه ی Connect بزنید.
در مرحله ی بعدی پسورد خود را عینا از ایمیلی که ارسال شده است کپی پیست کنید.
در مرحله ی بعد بر روی گزینه ی YES بزنید تا وارد محیط سرور شوید.
در محیط سرور متاتریدر اپوفایننس به صورت پیش فرض نصب شده است و می توانید حساب خود را متصل کنید.

موفق و پیروز باشید.",,,
میگریشن حسابش فعال شده,"با سلام و احترام،

حساب شما برای ورود به متاتریدر فعال شده است.

رمز عبور قبلی تان را از پنل کاربری و یا ایمیل کپی کرده و عدد 2 را به انتهای آن اضافه نمایید.

برای اتصال به متاتریدر ۵ نسخه موبایل:

در قسمت ""setting"" به روی گزینه new account کلیک کنید و پس از آن login to an existing account را انتخاب بفرمایید و در قسمت سرچ Opo Group را سرچ کنید. از میان نتایج جستجو، گزینه‌ی .Opo group LLC را انتخاب کرده و پس از آن در قسمت login شماره حساب معاملاتی و در قسمت پسورد، پسورد حساب را وارد بفرمایید. همچنین مطمئن شوید که سرور را OpogroupLLC_Server2 انتخاب فرموده باشید.

برای اتصال به متاتریدر ۵ نسخه کامپیوتر:

به قسمت FILE مراجعه کرده و گزینه OPEN AN ACCOUNT را انتخاب بفرمایید و در قسمت سرچ عبارت OPOGROUP را وارد کرده و گزینه Find your company را بزنید. سپس سرور .Opo group LLC را انتخاب کنید و بر روی عبارت Next کلیک نمایید و گزینه ی Connect with an existing trade account را فعال نمایید و یوزر و پسورد حساب معاملاتی خود را وارد کرده و کلید Finish را بزنید. همچنین مطمئن شوید ک�� سرور را OpogroupLLC_Server2 انتخاب فرموده باشید.

با تشکر از همکاری شما.",,,
تکرار,"با سلام و احترام،




لطفا همواره درخواست تکرار رایگان خود را به چت آنلاین سایت ارسال بفرمایید.




با سپاس از همراهی شما",,,
server options,,"Dear Client,

We are pleased to inform you that you can benefit from our exclusive Free VPS offer for a more stable and reliable trading connection.

Based on your account balance, you may receive a free VPS for up to 6 months.
Please note that to keep the VPS active, your account balance must remain above the required minimum. If the balance falls below the threshold due to withdrawals, the VPS will be suspended and removed within 24 hours.

To request or purchase a VPS, please follow the steps below:



HOW TO REQUEST YOUR VPS

 1. Choose your preferred VPS package.
 2. Transfer the VPS fee to your main wallet (if you are purchasing one).
 3. Send your VPS request to support@opofinance.com.


Our technical team will review your request, deduct the VPS fee if applicable, and provide you with your VPS login details.




IMPORTANT NOTES

 * The VPS service is valid for 30 days. You may renew it by maintaining the required account balance or adding funds to your wallet.
 * Deposits and withdrawals after receiving the VPS may affect your eligibility for continued service.


If you have any questions or need further assistance, please feel free to contact us.

Kind regards,
Opofinance Support Team",,
گزینه های سرور,"با سلام و احترام،

جهت اتصال پایدار می توانید از پیشنهاد ویژه سرور مجازی رایگان (VPS) ما بهره مند شوید!
شما می توانید بر اساس موجودی حساب خود، یک VPS رایگان حداکثر به مدت ۶ ماه دریافت کنید. لطفاً توجه داشته باشید که برای حفظ سرور، موجودی حساب شما باید بالاتر از حداقل مبلغ موردنیاز باقی بماند. در صورت کاهش موجودی به دلیل برداشت، VPS ظرف ۲۴ ساعت متوقف شده و حذف خواهد شد.

برای دریافت یا خرید VPS، مراحل زیر را دنبال کنید:

۱. یکی از گزینه های سرور زیر را انتخاب کنید.

۲. هزینه سرور را به کیف پول اصلی خود انتقال دهید (در صورت خرید).

۳. درخواست خود را به آدرس ایمیل **support@opofinance.com ارسال کنید.*

تیم فنی ما درخواست شما را بررسی کرده، هزینه سرور (در صورت خرید) را کسر و اطلاعات سرور را در اختیار شما قرار خواهد داد.

*نکات مهم:*

- مدت استفاده از VPS، ۳۰ روز است. شما می توانید با حفظ موجودی موردنیاز یا شارژ مجدد کیف پول، VPS خود را تمدید کنید.

- واریز و برداشت پس از دریافت VPS ممکن است بر شرایط استفاده تأثیر بگذارد.

در صورت وجود هرگونه سؤال یا نیاز به راهنمایی، با ما تماس بگیرید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
وصل شدن سرور ایران,"با سلام و احترام؛

به استحضار می‌رساند زیرساخت‌های اختصاصی کارگزاری در ایران برای آدرس‌های client.opo.finance و opo.finance مجدداً فعال شده و در حال حاضر با سرعت و پایداری بالا در دسترس هستند.
تمامی خدمات در پنل کاربری، از جمله احراز هویت (KYC)، سوشیال تریدینگ، وب‌تریدینگ و سایر قابلیت‌های موجود در نسخه جهانی، هم‌اکنون بدون نیاز به فیلترشکن به طور کامل قابل استفاده می‌باشند.
 * ورود به کابین شخصی: client.opo.finance [https://www.google.com/search?q=https://client.opo.finance]
 * وب‌سایت اصلی: opo.finance [https://www.google.com/search?q=https://opo.finance]

نکته: جهت بهره‌مندی از حداکثر سرعت، هنگام استفاده از لینک‌های فوق حتم��ً فیلترشکن خود را خاموش نمایید.

همچنین نسخه دسکتاپ متاتریدر ۵ با سرعت و پایداری بالا مجدداً در دسترس قرار گرفته است. کاربران داخل ایران می‌توانند بدون نیاز به فیلترشکن و با استفاده از آدرس سرور جدید متصل شوند.



راهنمای اتصال (فقط نسخه دسکتاپ):

برای اتصال، تنها کافیست آدرس سرور را در متاتریدر خود تغییر دهید:

۱. به منوی File و سپس بخش Login to Trade Account بروید.
۲. در قسمت Server، آدرس زیر را کپی و جایگزین آدرس قبلی کنید: mt5.opo.finance
۳. بر روی Login کلیک کنید.

نکات مهم:
 * این تنظیمات فقط با اینترنت داخلی ایران کار می‌کند؛ لذا حتماً پیش از اتصال، فیلترشکن (VPN) خود را خاموش کنید.
 * اگر برای اولین بار است که حساب را متصل می‌کنید، ابتدا یک‌بار با سرور پیش‌فرض تلاش کنید تا خطا دهد، سپس طبق مراحل بالا آدرس جدید را وارد نمایید.


در صورت وجود هرگونه سوال و یا نیاز به راهنمایی بیشتر، مجدداً با ما در تماس باشید.

با تشکر،",,,
ترنسفر داخلی,"با سلام و احترام


کارگزاری اپوفایننس با توجه به استاندارد های مالی جهانی و طبق قوانین ضد پولشویی ، انتقال وجه از طریق ترانسفر داخلی را پشتیبانی نمی کند.

جهت انتقال وجه ، لطفا مبلغ مورد نظر را به ولت شخصی خود برداش�� کرده و سپس به حساب اپوفایننس مورد نظر ، واریز نمایید.

این مورد در سیستم غیر فعال بوده و در هیچ شرایطی قابل اجرا نخواهد بود.


با تشکر",,,
Meta-connections-desktop,,"Dear Client,

Thank you for reaching out. You can easily connect your trading account to the MetaTrader platform on your desktop by following these steps:

For MetaTrader 4 / MetaTrader 5 (Windows or macOS):

 1. Open the MetaTrader 4 or MetaTrader 5 application.
 2. Click on File → Login to Trade Account.
 3. Enter your Login, Password, and select the correct server based on your account type:
    * MetaTrader 5 (Standard Accounts): Opogroup-Server1
    * MetaTrader 5 (Bonus Accounts): OpogroupLLC-Server2
    * MetaTrader 4 (Real Accounts): OpogroupLLC-Real1
    * MetaTrader 4 (Demo Accounts): OpogroupLLC-Demo
 4. Click OK to complete the login.



Your account should now be connected, and you can start trading immediately.

Best regards,
Opofinance Support Team",,
ثبت درخواست سواپ فری,"با سلام و احترام؛


به اطلاع می رساند جهت ثبت درخواست سواپ فری حساب، لطفا وارد پنل کاربری خود شوید و
مراحل زیر را دنبال کنید:


۱. به قسمت ""Accounts Review"" بروید.

۲. در بخش ""More"" یا ""بیشتر"" کلیک کنید.

۳. به قسمت ""Setting"" یا ""تنظیمات"" بروید.

۴. گزینه ""Swap Free"" یا ""سواپ فری"" را انتخاب کنید.

۵. درخواست خود را ثبت کنید و اعمال کنید.



در صورت داشتن سوال یا نیاز به راهنمایی بیشتر، می‌توانید با پشتیبانی چت آنلاین و
یا مجدداً با ما در ارتباط باشید.


با تشکر",,,
محل سکونت,"با سلام و احترام،




لطفا برای احراز محل سکونت خود در پاسخ به این ایمیل یکی از مدارک زیر را ارسال بفرمایید:




مدارک مورد تایید محل سکونت :
( یکی از مدارک کافی است )
- فرم سامانه ثنا به نام خودتان
- برگ سبز و یا بیمه نامه خودرو که دارای تاریخ اعتبار و آدرس دقیق باشد
- سند ملکی و یا اجاره نامه که دارای تاریخ اعتبار و مهر املاک باشد
- جواز کسب با تاریخ معتبر
- قبوض برق یا آب یا گاز و یا تلفن ثابت که برای سه سال اخیر باشد و دارای آدرس و کد پستی باشند ( قبوض جدید را می توانید از سایت اداره مربوطه دانلود و ارسال بفرمایید)

شایان ذکر است که به‌جز فرم ثنا، سایر مدارک می‌توانند به نام پدر، مادر یا همسر محترمتان باشند. در این صورت، لطفاً تصویر شناسنامه یا کارت مل�� خود را که نام ایشان در آن درج شده است، نیز ارسال بفرمایید.


با سپاس از همراهی شما",,,
checking,,"Dear Client,

We would like to inform you that your case has been forwarded to the relevant department for further review. Once the investigation has been completed, we will notify you of the outcome.

Kind regards,

Opofinance Support Team",,
